sID,schoolname,level,eType,address,city,region,lati,longi
B000011355,단국대학교부속소프트웨어고등학교,고등학교,사립,서울특별시 강남구 도곡로64길 21,서울특별시교육청,서울특별시강남서초교육지원청,37.49562483,127.0576122
B000008405,남서울중학교,중학교,공립,서울특별시 관악구 남부순환로172길 97,서울특별시교육청,서울특별시동작관악교육지원청,37.4817951,126.9214593
B000008365,봉은중학교,중학교,공립,서울특별시 강남구 영동대로128길 59,서울특별시교육청,서울특별시강남서초교육지원청,37.51910487,127.0627595
B000003396,대전대화초등학교,초등학교,공립,대전광역시 대덕구 대화로 242-36,대전광역시교육청,대전광역시동부교육지원청,36.36281021,127.4110049
B000023141,도담고등학교,고등학교,공립,세종특별자치시  보듬4로 41,세종특별자치시교육청,세종특별자치시교육청,36.51387216,127.2639169
B000003430,가수원초등학교,초등학교,공립,대전광역시 서구 벌곡로 1359,대전광역시교육청,대전광역시서부교육지원청,36.30248937,127.35328
B000001876,서울중화초등학교,초등학교,공립,서울특별시 중랑구 신내로7가길 22,서울특별시교육청,서울특별시동부교육지원청,37.60300324,127.0946485
B000008924,금호중앙중학교,중학교,사립,광주광역시 북구 금호로 100,광주광역시교육청,광주광역시동부교육지원청,35.17779883,126.8852718
B000011103,월산중학교,중학교,공립,경상남도 김해시 월산로 104,경상남도교육청,경상남도김해교육지원청,35.20485642,128.8031292
B000003476,대전하기초등학교,초등학교,공립,대전광역시 유성구 송림로19번길 32,대전광역시교육청,대전광역시서부교육지원청,36.38854558,127.321529
B000002058,서울상월초등학교,초등학교,공립,서울특별시 노원구 동일로221길 27,서울특별시교육청,서울특별시북부교육지원청,37.65848709,127.0571716
B000008184,선유중학교,중학교,공립,서울특별시 영등포구 선유로 213,서울특별시교육청,서울특별시남부교육지원청,37.53284324,126.8943293
B000001868,서울중목초등학교,초등학교,공립,서울특별시 중랑구 동일로 665,서울특별시교육청,서울특별시동부교육지원청,37.58997982,127.0793361
B000012028,독산고등학교,고등학교,공립,서울특별시 금천구 문성로 64,서울특별시교육청,서울특별시남부교육지원청,37.476199,126.9109732
B000005742,연봉초등학교,초등학교,공립,세종특별자치시  연서면 당산로 357-1,세종특별자치시교육청,세종특별자치시교육청,36.56392345,127.2822546
B000005745,연남초등학교,초등학교,공립,세종특별자치시  연기면 연기길 2,세종특별자치시교육청,세종특별자치시교육청,36.54344607,127.2781964
B000005744,수왕초등학교,초등학교,공립,세종특별자치시  연기면 눌왕길 8-45,세종특별자치시교육청,세종특별자치시교육청,36.54389406,127.2524928
B000010586,산이중학교,중학교,공립,전라남도 해남군 산이면 비석길 98-2,전라남도교육청,전라남도해남교육지원청,34.64518504,126.448975
B000009470,광남중학교,중학교,공립,경기도 광명시 광명로 785,경기도교육청,경기도광명교육지원청,37.47054524,126.8477212
B000013346,김해임호고등학교,고등학교,공립,경상남도 김해시 분성로3번길 77,경상남도교육청,경상남도김해교육지원청,35.23803636,128.8521631
B000008256,방산중학교,중학교,공립,서울특별시 송파구 오금로29길 31,서울특별시교육청,서울특별시강동송파교육지원청,37.5090712,127.1217525
B000011200,하동중앙중학교,중학교,공립,경상남도 하동군 하동읍 연화길 77,경상남도교육청,경상남도하동교육지원청,35.07709986,127.7492041
B000003402,신탄진초등학교,초등학교,공립,대전광역시 대덕구 석봉로3번길 50,대전광역시교육청,대전광역시동부교육지원청,36.44904263,127.4224192
B000002008,서울영림초등학교,초등학교,공립,서울특별시 영등포구 시흥대로173길 14,서울특별시교육청,서울특별시남부교육지원청,37.4872977,126.9025393
B000002469,서천초등학교,초등학교,공립,부산광역시 사하구 감천로105번길 10,부산광역시교육청,부산광역시서부교육지원청,35.08859678,129.0038498
B000002848,대구관천초등학교,초등학교,공립,대구광역시 북구 구암로22길 17,대구광역시교육청,대구광역시서부교육지원청,35.93053458,128.5518975
B000003352,산내초등학교,초등학교,공립,대전광역시 동구 산내로 1292,대전광역시교육청,대전광역시동부교육지원청,36.27910453,127.4694593
B000002125,서울평화초등학교,초등학교,공립,서울특별시 송파구 송파대로26길 22,서울특별시교육청,서울특별시강동송파교육지원청,37.49162927,127.1223566
B000003362,대전성남초등학교,초등학교,공립,대전광역시 동구 성남로32번길 5,대전광역시교육청,대전광역시동부교육지원청,36.34318037,127.4292008
B000012076,방산고등학교,고등학교,공립,서울특별시 송파구 오금로27길 18,서울특별시교육청,서울특별시강동송파교육지원청,37.50831315,127.120799
B000008269,세륜중학교,중학교,공립,서울특별시 송파구 양재대로72길 41,서울특별시교육청,서울특별시강동송파교육지원청,37.50849606,127.1314098
B000003292,진남초등학교,초등학교,공립,광주광역시 남구 효우로60번길 12,광주광역시교육청,광주광역시서부교육지원청,35.10891738,126.9025323
B000008068,의귀초등학교,초등학교,공립,제주특별자치도 서귀포시 남원읍 한신로 213,제주특별자치도교육청,제주특별자치도서귀포시교육지원청,33.31070308,126.7139884
B000022613,거제장평중학교,중학교,공립,경상남도 거제시 장평4로 40,경상남도교육청,경상남도거제교육지원청,34.88636155,128.6062553
B000022983,연무여자중학교,중학교,사립,충청남도 논산시 연무읍 동안로887번길 5,충청남도교육청,충청남도논산계룡교육지원청,36.13467435,127.1038318
B000002721,기장초등학교,초등학교,공립,부산광역시 기장군 기장읍 읍내로 69,부산광역시교육청,부산광역시해운대교육지원청,35.24595438,129.212225
B000012154,성일여자고등학교,고등학교,사립,부산광역시 사하구 다대로 161,부산광역시교육청,부산광역시서부교육지원청,35.08881392,128.9790734
B000007661,칠산초등학교,초등학교,공립,경상남도 김해시 칠산로413번길 16-2,경상남도교육청,경상남도김해교육지원청,35.20966332,128.8519631
